PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Par,Ford Amateur DiscGolfPark (A1),Main,2021-08-08 17:40,56,,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,,,,,,
Jouni,Ford Amateur DiscGolfPark (A1),Main,2021-08-08 17:40,54,-2,2,4,3,2,2,5,3,3,3,3,3,3,4,3,3,3,3,2,,,,,,
Henkka,Ford Amateur DiscGolfPark (A1),Main,2021-08-08 17:40,53,-3,3,2,3,4,3,4,2,4,4,2,3,2,4,3,2,4,2,2,,,,,,
Saikkis,Ford Amateur DiscGolfPark (A1),Main,2021-08-08 17:40,60,4,2,3,3,2,4,5,3,3,3,3,3,3,3,4,3,3,5,5,,,,,,
Par,Västerby,B,2021-08-03 16:59,62,,5,4,3,4,3,4,3,3,3,4,3,3,3,4,3,4,3,3,,,,,,
Jouni,Västerby,B,2021-08-03 16:59,76,14,7,4,3,6,3,4,4,4,2,7,5,3,4,6,3,4,3,4,,,,,,
Par,Supersimppari,Custom,2021-07-31 17:48,62,,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,
Teemu,Supersimppari,Custom,2021-07-31 17:48,78,16,2,4,4,5,5,3,5,3,4,4,6,4,4,3,3,3,4,5,3,4,,,,
Henkka,Supersimppari,Custom,2021-07-31 17:48,62,0,2,3,4,4,3,3,3,2,3,3,4,3,3,2,5,2,3,4,3,3,,,,
Kimmo,Supersimppari,Custom,2021-07-31 17:48,71,9,2,4,3,4,3,3,3,3,4,4,4,3,4,4,4,3,4,5,4,3,,,,
Emma,Supersimppari,Custom,2021-07-31 17:48,80,18,3,4,3,5,4,3,4,5,5,4,5,4,4,3,4,3,4,5,4,4,,,,
Jouni,Supersimppari,Custom,2021-07-31 17:48,60,-2,2,3,2,4,2,2,3,2,4,4,4,3,3,2,3,3,4,3,3,4,,,,
Sampo,Supersimppari,Custom,2021-07-31 17:48,70,8,3,3,4,4,3,3,3,3,3,4,6,3,6,3,3,2,4,3,3,4,,,,
Antti,Supersimppari,Custom,2021-07-31 17:48,70,8,3,4,4,6,3,2,4,3,4,4,4,3,3,3,4,3,3,4,3,3,,,,
Saku,Supersimppari,Custom,2021-07-31 17:48,74,12,2,4,4,5,3,3,4,3,5,4,4,4,4,3,3,4,3,5,4,3,,,,
Par,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
Jouni,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,61,7,3,4,3,3,4,5,4,2,3,3,3,4,3,4,2,4,3,4,,,,,,
Henkka,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,68,14,4,7,4,3,4,3,3,3,4,2,4,3,2,3,3,5,5,6,,,,,,
Saikkis,Nurmijärven Frisbeegolfrata,Main,2021-07-29 17:44,71,17,3,4,4,3,6,5,5,2,4,4,4,3,3,3,2,5,5,6,,,,,,
