PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Par,Kippasuo KIDS DiscGolfPark at Heinola DiscGolfPark World,Long tees,2021-08-16 18:15,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Kippasuo KIDS DiscGolfPark at Heinola DiscGolfPark World,Long tees,2021-08-16 18:15,22,-5,3,2,2,3,2,2,3,2,3,,,,,,,,,,,,,,,
Antti,Kippasuo KIDS DiscGolfPark at Heinola DiscGolfPark World,Long tees,2021-08-16 18:15,23,-4,2,3,2,3,3,2,3,2,3,,,,,,,,,,,,,,,
Par,Kippasuo Pro DiscGolfPark at Heinola DiscGolfPark World,Kippasuo PRO Blue (Sininen),2021-08-16 15:51,64,,4,3,5,3,4,3,4,4,5,4,4,3,3,3,3,3,3,3,,,,,,
Henkka,Kippasuo Pro DiscGolfPark at Heinola DiscGolfPark World,Kippasuo PRO Blue (Sininen),2021-08-16 15:51,83,19,4,4,5,3,6,5,3,5,7,5,5,4,4,4,4,8,3,4,,,,,,
Antti,Kippasuo Pro DiscGolfPark at Heinola DiscGolfPark World,Kippasuo PRO Blue (Sininen),2021-08-16 15:51,82,18,6,4,7,3,5,3,5,4,7,5,5,4,4,5,5,4,3,3,,,,,,
Par,Kippasuo AM DiscGolfPark at Heinola DiscGolfPark World,Main,2021-08-16 14:26,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
Henkka,Kippasuo AM DiscGolfPark at Heinola DiscGolfPark World,Main,2021-08-16 14:26,51,-3,2,3,2,2,3,2,3,3,2,3,3,2,4,4,3,2,3,5,,,,,,
Antti,Kippasuo AM DiscGolfPark at Heinola DiscGolfPark World,Main,2021-08-16 14:26,62,8,3,3,5,3,4,3,3,3,2,3,4,4,4,3,3,3,3,6,,,,,,
Par,Siltamäki,Updated,2021-08-13 21:33,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Teemu,Siltamäki,Updated,2021-08-13 21:33,64,11,4,4,3,2,3,3,3,4,6,3,3,4,4,4,3,4,4,3,,,,,,
Henkka,Siltamäki,Updated,2021-08-13 21:33,55,2,4,4,4,3,3,3,2,3,3,3,2,3,4,3,3,3,3,2,,,,,,
Jouni,Siltamäki,Updated,2021-08-13 21:33,54,1,4,4,2,2,3,2,2,4,3,3,3,3,3,2,2,6,3,3,,,,,,
Henu,Siltamäki,Updated,2021-08-13 21:33,65,12,3,4,3,3,3,3,3,6,4,4,4,3,4,4,3,4,4,3,,,,,,
Par,Siltamäki,Updated,2021-08-13 18:47,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Jouni,Siltamäki,Updated,2021-08-13 18:47,50,-3,2,3,3,2,3,2,2,4,3,3,3,3,3,3,2,3,3,3,,,,,,
Henkka,Siltamäki,Updated,2021-08-13 18:47,52,-1,4,3,2,3,4,3,3,3,4,3,2,3,2,2,2,4,3,2,,,,,,
Saikkis,Siltamäki,Updated,2021-08-13 18:47,54,1,4,4,3,2,3,2,3,5,4,2,3,2,3,3,3,3,3,2,,,,,,
Kimmo,Siltamäki,Updated,2021-08-13 18:47,63,10,4,6,2,3,3,3,4,3,6,4,3,4,3,3,3,3,3,3,,,,,,
Teemu,Siltamäki,Updated,2021-08-13 18:47,64,11,5,4,3,3,4,3,3,3,5,4,3,4,3,3,3,5,4,2,,,,,,
Ilkka,Siltamäki,Updated,2021-08-13 18:47,63,10,4,4,3,3,3,4,3,3,6,3,3,3,4,3,3,5,3,3,,,,,,
Henu,Siltamäki,Updated,2021-08-13 18:47,63,10,4,4,4,3,4,3,3,3,4,3,6,3,3,3,3,4,3,3,,,,,,
Par,Malminiitty,Niitty,2021-08-12 20:22,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2021-08-12 20:22,26,-1,2,2,4,3,3,3,4,3,2,,,,,,,,,,,,,,,
Emma,Malminiitty,Niitty,2021-08-12 20:22,31,4,3,3,3,3,4,3,4,4,4,,,,,,,,,,,,,,,
Saikkis,Malminiitty,Niitty,2021-08-12 20:22,25,-2,3,3,3,2,3,3,2,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-08-12 20:22,23,-4,3,2,3,2,2,2,3,3,3,,,,,,,,,,,,,,,
Ilkka,Malminiitty,Niitty,2021-08-12 20:22,29,2,3,2,3,3,2,4,4,4,4,,,,,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2021-08-12 16:40,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Saku,Malminiitty,Vakio layout,2021-08-12 16:40,28,1,3,3,3,3,3,3,4,3,3,,,,,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2021-08-12 16:40,30,3,5,3,3,2,2,3,5,4,3,,,,,,,,,,,,,,,
Ilkka Davidsen,Malminiitty,Vakio layout,2021-08-12 16:40,30,3,3,3,3,3,4,3,3,3,5,,,,,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2021-08-12 16:40,25,-2,2,2,3,3,3,4,3,3,2,,,,,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2021-08-12 15:54,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Saku,Malminiitty,Vakio layout,2021-08-12 15:54,27,0,3,3,3,2,3,4,3,3,3,,,,,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2021-08-12 15:54,28,1,3,3,3,3,3,4,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2021-08-12 15:54,27,0,2,3,2,3,4,4,3,3,3,,,,,,,,,,,,,,,
Par,Hornhattula Frisbeegolf,Main,2021-08-11 19:50,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,
Henkka,Hornhattula Frisbeegolf,Main,2021-08-11 19:50,31,1,3,3,4,3,3,4,2,3,2,4,,,,,,,,,,,,,,
Antti,Hornhattula Frisbeegolf,Main,2021-08-11 19:50,30,0,3,3,3,2,3,4,3,3,3,3,,,,,,,,,,,,,,
Ilkka,Hornhattula Frisbeegolf,Main,2021-08-11 19:50,35,5,3,3,4,3,5,5,3,3,3,3,,,,,,,,,,,,,,
Par,Virvik,2018,2021-08-11 16:47,57,,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,3,,,,,,
Henkka,Virvik,2018,2021-08-11 16:47,66,9,4,3,2,4,3,6,3,6,2,5,4,3,5,4,2,4,3,3,,,,,,
Antti,Virvik,2018,2021-08-11 16:47,71,14,4,4,4,4,3,4,2,5,3,6,5,4,4,5,3,4,3,4,,,,,,
Ilkka,Virvik,2018,2021-08-11 16:47,83,26,5,4,5,3,3,4,3,7,5,7,5,4,5,4,5,5,3,6,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-08-09 18:57,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-08-09 18:57,29,2,3,3,2,4,5,3,2,5,2,,,,,,,,,,,,,,,
