PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Par,Malminiitty,Niitty,2021-08-12 20:22,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2021-08-12 20:22,26,-1,2,2,4,3,3,3,4,3,2,,,,,,,,,,,,,,,
Emma,Malminiitty,Niitty,2021-08-12 20:22,31,4,3,3,3,3,4,3,4,4,4,,,,,,,,,,,,,,,
Saikkis,Malminiitty,Niitty,2021-08-12 20:22,25,-2,3,3,3,2,3,3,2,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-08-12 20:22,23,-4,3,2,3,2,2,2,3,3,3,,,,,,,,,,,,,,,
Ile,Malminiitty,Niitty,2021-08-12 20:22,29,2,3,2,3,3,2,4,4,4,4,,,,,,,,,,,,,,,
Par,Supersimppari,Custom,2021-07-31 17:48,62,,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,
Teemu,Supersimppari,Custom,2021-07-31 17:48,78,16,2,4,4,5,5,3,5,3,4,4,6,4,4,3,3,3,4,5,3,4,,,,
Henkka,Supersimppari,Custom,2021-07-31 17:48,62,0,2,3,4,4,3,3,3,2,3,3,4,3,3,2,5,2,3,4,3,3,,,,
Kimmo,Supersimppari,Custom,2021-07-31 17:48,71,9,2,4,3,4,3,3,3,3,4,4,4,3,4,4,4,3,4,5,4,3,,,,
Emma,Supersimppari,Custom,2021-07-31 17:48,80,18,3,4,3,5,4,3,4,5,5,4,5,4,4,3,4,3,4,5,4,4,,,,
Jouni,Supersimppari,Custom,2021-07-31 17:48,60,-2,2,3,2,4,2,2,3,2,4,4,4,3,3,2,3,3,4,3,3,4,,,,
Sampo,Supersimppari,Custom,2021-07-31 17:48,70,8,3,3,4,4,3,3,3,3,3,4,6,3,6,3,3,2,4,3,3,4,,,,
Antti,Supersimppari,Custom,2021-07-31 17:48,70,8,3,4,4,6,3,2,4,3,4,4,4,3,3,3,4,3,3,4,3,3,,,,
Saku,Supersimppari,Custom,2021-07-31 17:48,74,12,2,4,4,5,3,3,4,3,5,4,4,4,4,3,3,4,3,5,4,3,,,,
Par,Malminiitty,Niitty,2021-07-16 21:55,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Teemu,Malminiitty,Niitty,2021-07-16 21:55,27,0,2,2,3,3,3,3,4,3,4,,,,,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2021-07-16 21:55,29,2,2,2,3,4,3,3,3,4,5,,,,,,,,,,,,,,,
Kari,Malminiitty,Niitty,2021-07-16 21:55,28,1,2,3,2,2,4,3,3,5,4,,,,,,,,,,,,,,,
Sampo,Malminiitty,Niitty,2021-07-16 21:55,35,8,4,3,4,3,4,5,5,4,3,,,,,,,,,,,,,,,
Emma,Malminiitty,Niitty,2021-07-16 21:55,30,3,3,3,3,3,4,3,3,4,4,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-07-16 21:06,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Teemu,Malminiitty,Niitty,2021-07-16 21:06,31,4,3,3,4,5,4,3,3,3,3,,,,,,,,,,,,,,,
